
START dramblast {

START Insert TEST {
#           time             counts unit events
     1.001923346        646,493,440      umc_cas_cmd.all                  #  41375.6 MB/s  umc_mem_bandwidth   
   156.394947940      4,376,285,962      umc_cas_cmd.all                  # 280082.3 MB/s  umc_mem_bandwidth   
   156.394947940      1,001,441,120 ns   duration_time                                                         
#           time             counts unit events
   157.396929953      4,332,389,330      umc_cas_cmd.all                  # 277272.9 MB/s  umc_mem_bandwidth   
   157.396929953      1,001,982,013 ns   duration_time                                                         
   158.399927911      4,318,968,218      umc_cas_cmd.all                  # 276414.0 MB/s  umc_mem_bandwidth   
   158.399927911      1,002,997,958 ns   duration_time                                                         
   159.401525892      4,336,866,950      umc_cas_cmd.all                  # 277559.5 MB/s  umc_mem_bandwidth   
   159.401525892      1,001,597,981 ns   duration_time                                                         
   160.404940941      4,307,864,519      umc_cas_cmd.all                  # 275703.3 MB/s  umc_mem_bandwidth   
   160.404940941      1,003,415,049 ns   duration_time                                                         
   161.406521372      4,329,369,067      umc_cas_cmd.all                  # 277079.6 MB/s  umc_mem_bandwidth   
   161.406521372      1,001,580,431 ns   duration_time                                                         
   162.409972771      4,368,153,740      umc_cas_cmd.all                  # 279561.8 MB/s  umc_mem_bandwidth   
   162.409972771      1,003,451,399 ns   duration_time                                                         
   163.412976257      4,288,541,164      umc_cas_cmd.all                  # 274466.6 MB/s  umc_mem_bandwidth   
   163.412976257      1,003,003,486 ns   duration_time                                                         
   164.414521943      4,352,880,961      umc_cas_cmd.all                  # 278584.4 MB/s  umc_mem_bandwidth   
   164.414521943      1,001,545,686 ns   duration_time                                                         
   165.416949194      4,302,103,966      umc_cas_cmd.all                  # 275334.7 MB/s  umc_mem_bandwidth   
   165.416949194      1,002,427,251 ns   duration_time                                                         
   166.421933506      4,363,389,289      umc_cas_cmd.all                  # 279256.9 MB/s  umc_mem_bandwidth   
   166.421933506      1,004,984,312 ns   duration_time                                                         
   167.423497183      4,363,193,033      umc_cas_cmd.all                  # 279244.4 MB/s  umc_mem_bandwidth   
   167.423497183      1,001,563,677 ns   duration_time                                                         
